Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,A,B,C,D,alpha,beta,split_k_mode,split_k_slices,batch_count,raster_order,runtime_input_datatype_a,runtime_input_datatype_b,use_pdl,enable_sm90_mixed_dtype_shuffle_test,swizzle_size,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_nn_align1,passed,success,universal,8192,8192,8192,f32:column,f32:column,f32:column,f32:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,1073741824,1099645845504,1024,22.5017,44.4411,48869.5
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_nt_align1,passed,success,universal,8192,8192,8192,f32:column,f32:row,f32:column,f32:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,1073741824,1099645845504,1024,22.4971,44.4502,48879.5
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_tn_align1,passed,success,universal,8192,8192,8192,f32:row,f32:column,f32:column,f32:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,1073741824,1099645845504,1024,23.0607,43.3638,47684.9
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_tt_align1,passed,success,universal,8192,8192,8192,f32:row,f32:row,f32:column,f32:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,1073741824,1099645845504,1024,22.4383,44.5667,49007.5
1,CUTLASS,gemm,cutlass_simt_dgemm_128x128_8x2_nn_align1,passed,success,universal,8192,8192,8192,f64:column,f64:column,f64:column,f64:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f64,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,2147483648,1099645845504,512,792.871,2.52248,1386.92
1,CUTLASS,gemm,cutlass_simt_dgemm_128x128_8x2_nt_align1,passed,success,universal,8192,8192,8192,f64:column,f64:row,f64:column,f64:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f64,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,2147483648,1099645845504,512,793.213,2.52139,1386.32
1,CUTLASS,gemm,cutlass_simt_dgemm_128x128_8x2_tn_align1,passed,success,universal,8192,8192,8192,f64:row,f64:column,f64:column,f64:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f64,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,2147483648,1099645845504,512,791.711,2.52618,1388.95
1,CUTLASS,gemm,cutlass_simt_dgemm_128x128_8x2_tt_align1,passed,success,universal,8192,8192,8192,f64:row,f64:row,f64:column,f64:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f64,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,2147483648,1099645845504,512,792.195,2.52463,1388.1
1,CUTLASS,gemm,cutlass_simt_cgemm_128x64_8x2_nn_align1,passed,success,universal,8192,8192,8192,cf32:column,cf32:column,cf32:column,cf32:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,cf32,128,64,8,1,1,1,0,0,0,2,2,2,1,1,1,1,50,1024,2147483648,4398583382016,2048,76.9307,25.9974,57175.9
1,CUTLASS,gemm,cutlass_simt_cgemm_128x64_8x2_nt_align1,passed,success,universal,8192,8192,8192,cf32:column,cf32:row,cf32:column,cf32:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,cf32,128,64,8,1,1,1,0,0,0,2,2,2,1,1,1,1,50,1024,2147483648,4398583382016,2048,76.5444,26.1286,57464.5
1,CUTLASS,gemm,cutlass_simt_cgemm_128x64_8x2_tn_align1,passed,success,universal,8192,8192,8192,cf32:row,cf32:column,cf32:column,cf32:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,cf32,128,64,8,1,1,1,0,0,0,2,2,2,1,1,1,1,50,1024,2147483648,4398583382016,2048,77.4968,25.8075,56758.2
1,CUTLASS,gemm,cutlass_simt_cgemm_128x64_8x2_tt_align1,passed,success,universal,8192,8192,8192,cf32:row,cf32:row,cf32:column,cf32:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,cf32,128,64,8,1,1,1,0,0,0,2,2,2,1,1,1,1,50,1024,2147483648,4398583382016,2048,77.1524,25.9227,57011.7
1,CUTLASS,gemm,cutlass_simt_hgemm_256x128_8x2_nn_align1,passed,success,universal,8192,8192,8192,f16:column,f16:column,f16:column,f16:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f16,256,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,536870912,1099645845504,2048,15.5905,32.0708,70533.1
1,CUTLASS,gemm,cutlass_simt_hgemm_256x128_8x2_nt_align1,passed,success,universal,8192,8192,8192,f16:column,f16:row,f16:column,f16:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f16,256,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,536870912,1099645845504,2048,15.2303,32.8294,72201.4
1,CUTLASS,gemm,cutlass_simt_hgemm_256x128_8x2_tn_align1,passed,success,universal,8192,8192,8192,f16:row,f16:column,f16:column,f16:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f16,256,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,536870912,1099645845504,2048,15.6326,31.9845,70343.2
1,CUTLASS,gemm,cutlass_simt_hgemm_256x128_8x2_tt_align1,passed,success,universal,8192,8192,8192,f16:row,f16:row,f16:column,f16:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f16,256,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,536870912,1099645845504,2048,15.3133,32.6514,71809.9
1,CUTLASS,gemm,cutlass_simt_igemm_s8_128x128_32x2_nn_align1,passed,success,universal,8192,8192,8192,s8:column,s8:column,s32:column,s32:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,s32,128,128,32,1,1,1,0,0,0,2,4,2,1,1,1,4,50,1024,671088640,1099645845504,1638,7.42523,84.1725,148096
1,CUTLASS,gemm,cutlass_simt_igemm_s8_128x128_32x2_nt_align1,passed,success,universal,8192,8192,8192,s8:column,s8:row,s32:column,s32:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,s32,128,128,32,1,1,1,0,0,0,2,4,2,1,1,1,4,50,1024,671088640,1099645845504,1638,7.32867,85.2816,150047
1,CUTLASS,gemm,cutlass_simt_igemm_s8_128x128_32x2_tn_align1,passed,success,universal,8192,8192,8192,s8:row,s8:column,s32:column,s32:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,s32,128,128,32,1,1,1,0,0,0,2,4,2,1,1,1,4,50,1024,671088640,1099645845504,1638,7.35519,84.974,149506
1,CUTLASS,gemm,cutlass_simt_igemm_s8_128x128_32x2_tt_align1,passed,success,universal,8192,8192,8192,s8:row,s8:row,s32:column,s32:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,s32,128,128,32,1,1,1,0,0,0,2,4,2,1,1,1,4,50,1024,671088640,1099645845504,1638,7.35171,85.0143,149577
