Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,A,B,C,D,alpha,beta,split_k_mode,split_k_slices,batch_count,raster_order,runtime_input_datatype_a,runtime_input_datatype_b,use_pdl,enable_sm90_mixed_dtype_shuffle_test,swizzle_size,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_nn_align1,passed,success,universal,8192,8192,8192,f32:column,f32:column,f32:column,f32:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,1073741824,1099645845504,1024,14.6392,68.3097,75116.5
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_nt_align1,passed,success,universal,8192,8192,8192,f32:column,f32:row,f32:column,f32:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,1073741824,1099645845504,1024,17.0923,58.5059,64335.7
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_tn_align1,passed,success,universal,8192,8192,8192,f32:row,f32:column,f32:column,f32:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,1073741824,1099645845504,1024,16.0906,62.148,68340.8
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_tt_align1,passed,success,universal,8192,8192,8192,f32:row,f32:row,f32:column,f32:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,1073741824,1099645845504,1024,14.8735,67.2337,73933.2
1,CUTLASS,gemm,cutlass_simt_dgemm_128x128_8x2_nn_align1,passed,success,universal,8192,8192,8192,f64:column,f64:column,f64:column,f64:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f64,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,2147483648,1099645845504,512,579.755,3.44973,1896.74
1,CUTLASS,gemm,cutlass_simt_dgemm_128x128_8x2_nt_align1,passed,success,universal,8192,8192,8192,f64:column,f64:row,f64:column,f64:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f64,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,2147483648,1099645845504,512,578.237,3.45879,1901.72
1,CUTLASS,gemm,cutlass_simt_dgemm_128x128_8x2_tn_align1,passed,success,universal,8192,8192,8192,f64:row,f64:column,f64:column,f64:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f64,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,2147483648,1099645845504,512,581.381,3.44009,1891.44
1,CUTLASS,gemm,cutlass_simt_dgemm_128x128_8x2_tt_align1,passed,success,universal,8192,8192,8192,f64:row,f64:row,f64:column,f64:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f64,128,128,8,1,1,1,0,0,0,2,4,2,1,1,1,1,50,1024,2147483648,1099645845504,512,582.38,3.43418,1888.19
1,CUTLASS,gemm,cutlass_simt_cgemm_128x64_8x2_nn_align1,passed,success,universal,8192,8192,8192,cf32:column,cf32:column,cf32:column,cf32:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,cf32,128,64,8,1,1,1,0,0,0,2,2,2,1,1,1,1,50,1024,2147483648,4398583382016,2048,56.4248,35.4454,77954.9
1,CUTLASS,gemm,cutlass_simt_cgemm_128x64_8x2_nt_align1,passed,success,universal,8192,8192,8192,cf32:column,cf32:row,cf32:column,cf32:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,cf32,128,64,8,1,1,1,0,0,0,2,2,2,1,1,1,1,50,1024,2147483648,4398583382016,2048,56.118,35.6392,78381
1,CUTLASS,gemm,cutlass_simt_cgemm_128x64_8x2_tn_align1,passed,success,universal,8192,8192,8192,cf32:row,cf32:column,cf32:column,cf32:column,1,1,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,cf32,128,64,8,1,1,1,0,0,0,2,2,2,1,1,1,1,50,1024,2147483648,4398583382016,2048,56.0179,35.7029,78521
